worker_count,image_name,width,height,tile_count,operation,wall_clock_s,tiles_per_sec,p50_ms,p95_ms,p99_ms,avg_tile_kb,total_kb_in
1,small,2048,2048,16,edge_canny,0.776,20.62,22.93,26.41,27.35,0.23,3.7
1,medium,4096,4096,64,edge_canny,2.369,27.02,23.17,25.97,26.89,0.23,14.9
1,large,6144,6144,144,edge_canny,4.275,33.68,20.81,23.1,24.98,0.23,33.69
2,small,2048,2048,16,edge_canny,0.755,21.2,24.79,27.83,30.21,0.23,3.7
2,medium,4096,4096,64,edge_canny,2.126,30.1,24.92,28.0,28.39,0.23,14.9
2,large,6144,6144,144,edge_canny,4.328,33.27,23.45,28.85,30.07,0.23,33.68
4,small,2048,2048,16,edge_canny,1.411,11.34,28.37,35.73,42.16,0.23,3.7
4,medium,4096,4096,64,edge_canny,2.153,29.72,25.88,30.15,32.82,0.23,14.89
4,large,6144,6144,144,edge_canny,4.303,33.46,25.04,31.6,34.22,0.23,33.69
6,small,2048,2048,16,edge_canny,0.757,21.14,25.44,29.45,30.25,0.23,3.7
6,medium,4096,4096,64,edge_canny,2.047,31.26,26.84,34.59,37.26,0.23,14.9
6,large,6144,6144,144,edge_canny,4.34,33.18,26.25,32.06,33.69,0.23,33.69
8,small,2048,2048,16,edge_canny,0.736,21.74,26.22,30.83,31.13,0.23,3.7
8,medium,4096,4096,64,edge_canny,2.096,30.54,27.33,34.82,39.04,0.23,14.9
8,large,6144,6144,144,edge_canny,4.589,31.38,26.73,36.09,38.03,0.23,33.69
12,small,2048,2048,16,edge_canny,1.07,14.95,29.09,35.91,37.2,0.23,3.7
12,medium,4096,4096,64,edge_canny,2.182,29.34,28.54,36.66,43.34,0.23,14.9
12,large,6144,6144,144,edge_canny,4.599,31.31,28.63,37.13,41.19,0.23,33.7
