worker_count,image_name,width,height,tile_count,operation,wall_clock_s,tiles_per_sec,p50_ms,p95_ms,p99_ms,avg_tile_kb,total_kb_in
1,small,2048,2048,16,edge_canny,1.906,8.39,15.27,16.21,16.44,158.44,2535.07
1,medium,4096,4096,64,edge_canny,3.168,20.2,14.62,17.87,19.08,156.42,10010.85
1,large,6144,6144,144,edge_canny,6.841,21.05,15.11,21.28,26.12,155.76,22429.88
2,small,2048,2048,16,edge_canny,1.321,12.11,15.0,18.4,21.96,158.44,2535.07
2,medium,4096,4096,64,edge_canny,3.094,20.69,14.87,19.35,20.93,156.42,10010.85
2,large,6144,6144,144,edge_canny,6.28,22.93,13.65,16.57,18.5,155.76,22429.88
4,small,2048,2048,16,edge_canny,1.223,13.08,20.01,25.29,26.21,158.44,2535.07
4,medium,4096,4096,64,edge_canny,2.961,21.61,13.87,18.82,19.42,156.42,10010.85
4,large,6144,6144,144,edge_canny,6.564,21.94,14.73,21.78,25.13,155.76,22429.88
6,small,2048,2048,16,edge_canny,1.307,12.24,14.26,18.16,19.14,158.44,2535.07
6,medium,4096,4096,64,edge_canny,3.007,21.28,14.04,17.08,18.24,156.42,10010.85
6,large,6144,6144,144,edge_canny,6.76,21.3,14.02,18.39,21.15,155.76,22429.88
8,small,2048,2048,16,edge_canny,1.317,12.15,15.49,19.98,20.66,158.44,2535.07
8,medium,4096,4096,64,edge_canny,3.249,19.7,14.72,20.66,24.69,156.42,10010.85
8,large,6144,6144,144,edge_canny,6.333,22.74,13.97,17.47,18.95,155.76,22429.88
12,small,2048,2048,16,edge_canny,1.022,15.66,15.33,20.41,22.15,158.44,2535.07
12,medium,4096,4096,64,edge_canny,3.067,20.87,14.5,19.08,21.6,156.42,10010.85
12,large,6144,6144,144,edge_canny,6.753,21.32,15.61,21.98,23.67,155.76,22429.88
