worker_count,image_name,width,height,tile_count,operation,wall_clock_s,tiles_per_sec,p50_ms,p95_ms,p99_ms,avg_tile_kb,total_kb_in
1,small,2048,2048,16,edge_canny,0.758,21.11,22.22,24.4,24.55,0.23,3.69
1,medium,4096,4096,64,edge_canny,2.509,25.51,23.35,27.32,27.83,0.23,14.9
1,large,6144,6144,144,edge_canny,5.002,28.79,21.28,29.52,33.44,0.23,33.68
2,small,2048,2048,16,edge_canny,1.386,11.54,24.39,30.63,35.88,0.23,3.7
2,medium,4096,4096,64,edge_canny,2.175,29.43,24.85,31.51,34.76,0.23,14.9
2,large,6144,6144,144,edge_canny,4.684,30.74,25.22,33.0,36.52,0.23,33.69
4,small,2048,2048,16,edge_canny,0.756,21.16,24.75,27.64,28.08,0.23,3.69
4,medium,4096,4096,64,edge_canny,2.077,30.81,25.88,32.51,39.6,0.23,14.9
4,large,6144,6144,144,edge_canny,4.704,30.61,29.34,36.47,40.47,0.23,33.69
6,small,2048,2048,16,edge_canny,0.747,21.42,25.46,31.55,32.09,0.23,3.7
6,medium,4096,4096,64,edge_canny,2.117,30.23,28.73,36.72,41.98,0.23,14.91
6,large,6144,6144,144,edge_canny,4.416,32.61,28.24,33.82,40.19,0.23,33.68
8,small,2048,2048,16,edge_canny,1.68,9.52,30.06,37.75,46.13,0.23,3.7
8,medium,4096,4096,64,edge_canny,2.124,30.13,27.92,32.79,34.09,0.23,14.91
8,large,6144,6144,144,edge_canny,4.339,33.19,27.65,34.8,36.8,0.23,33.68
12,small,2048,2048,16,edge_canny,1.064,15.04,29.71,40.54,45.64,0.23,3.7
12,medium,4096,4096,64,edge_canny,2.098,30.5,29.34,33.8,37.88,0.23,14.91
12,large,6144,6144,144,edge_canny,4.355,33.07,28.32,36.6,40.22,0.23,33.68
