worker_count,image_name,width,height,tile_count,operation,wall_clock_s,tiles_per_sec,p50_ms,p95_ms,p99_ms,avg_tile_kb,total_kb_in
1,small,2048,2048,16,edge_canny,0.825,19.38,21.59,26.54,30.85,0.23,3.7
1,medium,4096,4096,64,edge_canny,2.177,29.39,20.69,32.87,39.53,0.23,14.9
1,large,6144,6144,144,edge_canny,4.723,30.49,22.11,34.13,37.46,0.23,33.69
2,small,2048,2048,16,edge_canny,0.789,20.28,21.74,26.48,30.07,0.23,3.69
2,medium,4096,4096,64,edge_canny,1.511,42.35,23.44,37.01,41.55,0.23,14.9
2,large,6144,6144,144,edge_canny,3.601,39.99,22.73,43.23,58.21,0.23,33.68
4,small,2048,2048,16,edge_canny,0.801,19.98,23.45,31.24,32.25,0.23,3.69
4,medium,4096,4096,64,edge_canny,1.218,52.54,28.94,48.47,52.96,0.23,14.89
4,large,6144,6144,144,edge_canny,2.336,61.64,27.45,42.31,46.22,0.23,33.69
6,small,2048,2048,16,edge_canny,1.43,11.19,30.65,40.39,42.32,0.23,3.7
6,medium,4096,4096,64,edge_canny,1.544,41.44,40.41,55.39,63.39,0.23,14.89
6,large,6144,6144,144,edge_canny,2.116,68.07,33.97,55.09,72.9,0.23,33.68
8,small,2048,2048,16,edge_canny,0.508,31.52,33.44,37.69,38.08,0.23,3.7
8,medium,4096,4096,64,edge_canny,1.473,43.45,41.45,54.87,59.75,0.23,14.9
8,large,6144,6144,144,edge_canny,2.626,54.84,41.99,57.48,71.62,0.23,33.68
12,small,2048,2048,16,edge_canny,1.129,14.17,33.74,46.53,47.36,0.23,3.7
12,medium,4096,4096,64,edge_canny,1.482,43.19,47.44,76.92,117.16,0.23,14.9
12,large,6144,6144,144,edge_canny,2.488,57.88,52.56,83.67,95.69,0.23,33.68
