tile_size,image_name,width,height,tile_count,wall_clock_s,tiles_per_sec,p50_ms,p99_ms
256,small,2048,2048,64,1.593,40.17,15.28,20.79
256,medium,4096,4096,256,1.948,131.45,17.6,23.14
256,large,6144,6144,576,4.003,143.88,16.81,21.85
384,small,2048,2048,36,0.842,42.73,20.87,25.57
384,medium,4096,4096,121,1.485,81.49,21.93,31.89
384,large,6144,6144,256,3.219,79.54,22.92,32.93
512,small,2048,2048,16,0.841,19.03,25.8,31.6
512,medium,4096,4096,64,1.296,49.39,30.06,46.41
512,large,6144,6144,144,2.48,58.06,28.75,49.3
768,small,2048,2048,9,0.739,12.18,35.7,50.42
768,medium,4096,4096,36,1.268,28.38,42.13,76.06
768,large,6144,6144,64,2.298,27.85,49.04,108.37
1024,small,2048,2048,4,0.831,4.81,64.51,71.46
1024,medium,4096,4096,16,1.255,12.75,71.5,94.81
1024,large,6144,6144,36,2.517,14.31,70.35,124.59
